"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","is.neg","period_num","j","site_num","Periodo","Sitio","n_plants"
"GBP23011102M_ITS_P96","Species richness",31,31,0.349697377682673,31,31.6853942657461,1,23,"p01","s11","02M","#440154FF","#ED6925FF","sample","P96",10154,FALSE,1,"1 11",11,1,11,5
"GBP23020201M_ITS_P96","Species richness",28,28,0.896396028764088,28,29.7569039322623,1,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","P96",6264,FALSE,2,"2 2",2,2,2,9
"GBP23020201M_ITS_P96","Shannon diversity",5.68199876122577,5.69450974548334,0.0805638894525746,5.53660742370183,5.85241206726485,0.997802974300379,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","P96",6264,FALSE,2,"2 2",2,2,2,9
"GBP23020201M_ITS_P96","Simpson diversity",3.24658037098125,3.24774647670035,0.0493805889128427,3.1509623008958,3.3445306525049,0.999640949277456,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","P96",6264,FALSE,2,"2 2",2,2,2,9
"GBP23020202M_ITS_P96","Shannon diversity",7.16976552042719,7.18535574495117,0.0940409136923592,7.00103894104091,7.36967254886144,0.997830277987985,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","P96",3757,FALSE,2,"2 2",2,2,2,9
"GBP23020202M_ITS_P96","Simpson diversity",5.31511131803299,5.32126566101882,0.088142071231322,5.14851037588267,5.49402094615498,0.998843443763592,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","P96",3757,FALSE,2,"2 2",2,2,2,9
"GBP23020202M_ITS_P96","Species richness",17,17,0.465123784946484,17,17.9116258668481,1,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","P96",3757,FALSE,2,"2 2",2,2,2,9
"GBP23020301M_ITS_P96","Species richness",24,24,0.421152572782397,24,24.8254438746499,1,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","P96",20416,FALSE,2,"2 3",3,2,3,9
"GBP23020301M_ITS_P96","Shannon diversity",7.11742960120519,7.12242501216655,0.0602522349221398,7.00433280173111,7.24051722260199,0.999298636215499,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","P96",20416,FALSE,2,"2 3",3,2,3,9
"GBP23020301M_ITS_P96","Simpson diversity",5.20921056094945,5.21053585205686,0.0448987008428448,5.12253601545224,5.29853568866147,0.999745651667115,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","P96",20416,FALSE,2,"2 3",3,2,3,9
"GBP23020302M_ITS_P96","Species richness",89,89,0.970979960599101,89,90.9030857524844,1,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","P96",105011,FALSE,2,"2 3",3,2,3,9
"GBP23020302M_ITS_P96","Shannon diversity",11.2028176404333,11.2082483990347,0.0580135866115351,11.0945438586621,11.3219529394073,0.999515467679872,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","P96",105011,FALSE,2,"2 3",3,2,3,9
"GBP23020302M_ITS_P96","Simpson diversity",6.62804393876259,6.62845198053445,0.0314808750428916,6.56675059924858,6.69015336182032,0.999938440864766,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","P96",105011,FALSE,2,"2 3",3,2,3,9
"GBP23020303M_ITS_P96","Shannon diversity",7.92694724122681,7.9303827096106,0.0451463635307736,7.84189746305734,8.01886795616387,0.999566796646569,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","P96",79775,FALSE,2,"2 3",3,2,3,9
"GBP23020303M_ITS_P96","Simpson diversity",3.71278004740177,3.71291936623345,0.0207488783218124,3.67225231200309,3.7535864204638,0.999962477280563,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","P96",79775,FALSE,2,"2 3",3,2,3,9
"GBP23020303M_ITS_P96","Species richness",63,63,0.769107569364392,63,64.5074231361913,1,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","P96",79775,FALSE,2,"2 3",3,2,3,9
"GBP23020304M_ITS_P96","Species richness",31,31,0.507488427986748,31,31.9946590414249,1,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","P96",7157,FALSE,2,"2 3",3,2,3,9
"GBP23020304M_ITS_P96","Simpson diversity",2.5586436502569,2.55920475424339,0.0453061363934394,2.47040635863359,2.64800314985319,0.99978075064703,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","P96",7157,FALSE,2,"2 3",3,2,3,9
"GBP23020304M_ITS_P96","Shannon diversity",5.54166284550661,5.55348531663206,0.11393663577419,5.33017361399499,5.77679701926913,0.99787116190079,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","P96",7157,FALSE,2,"2 3",3,2,3,9
"GBP23020305M_ITS_P96","Species richness",8,8,0.377859618662067,8,8.74059124378969,1,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","P96",1523,FALSE,2,"2 3",3,2,3,9
"GBP23020305M_ITS_P96","Shannon diversity",2.12943155992497,2.13443614150964,0.0595108994502714,2.01779692189953,2.25107536111976,0.997655314447061,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","P96",1523,FALSE,2,"2 3",3,2,3,9
"GBP23020305M_ITS_P96","Simpson diversity",1.50612409216494,1.50662510350709,0.0325648434629055,1.44279918315761,1.57045102385657,0.99966746117466,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","P96",1523,FALSE,2,"2 3",3,2,3,9
"GBP23020401M_ITS_P96","Simpson diversity",2.70256275371642,2.70609324687367,0.0586599661231565,2.59112182593795,2.8210646678094,0.998695354211711,23,"p02","s04","01M","#414487FF","#420A68FF","sample","P96",1344,FALSE,2,"2 4",4,2,4,15
"GBP23020401M_ITS_P96","Species richness",4,4,0,4,4,1,23,"p02","s04","01M","#414487FF","#420A68FF","sample","P96",1344,FALSE,2,"2 4",4,2,4,15
"GBP23020401M_ITS_P96","Shannon diversity",3.12512664676861,3.12872218548353,0.0514576737034976,3.02786699829646,3.2295773726706,0.998850796426861,23,"p02","s04","01M","#414487FF","#420A68FF","sample","P96",1344,FALSE,2,"2 4",4,2,4,15
"GBP23020402M_ITS_P96","Species richness",23,23,0,23,23,1,23,"p02","s04","02M","#414487FF","#420A68FF","sample","P96",7075,FALSE,2,"2 4",4,2,4,15
"GBP23020402M_ITS_P96","Shannon diversity",12.7122601190596,12.7329808492223,0.144937370504351,12.4489088230198,13.0170528754248,0.998372672478812,23,"p02","s04","02M","#414487FF","#420A68FF","sample","P96",7075,FALSE,2,"2 4",4,2,4,15
"GBP23020402M_ITS_P96","Simpson diversity",8.81617453548671,8.82635581316499,0.162959144082278,8.50696175981226,9.14574986651773,0.99884649136135,23,"p02","s04","02M","#414487FF","#420A68FF","sample","P96",7075,FALSE,2,"2 4",4,2,4,15
"GBP23020403M_ITS_P96","Species richness",62,62,0.705822148372447,62,63.3833859903007,1,23,"p02","s04","03M","#414487FF","#420A68FF","sample","P96",69104,FALSE,2,"2 4",4,2,4,15
