"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","period_num","site_num","j","Periodo","Sitio","n_plants"
"GBP23011101M_16S_B96","Simpson diversity",2.74088120907555,2.74109281463511,0.0117452752613867,2.71807249813428,2.76411313113594,0.999922802482854,23,"p01","s11","01M","#440154FF","#ED6925FF","sample","B96",26774,1,11,"1 11",1,11,5
"GBP23011102M_16S_B96","Species richness",33,63.2481822005889,22.4533626345581,33,107.25596429614,0.521754125602249,23,"p01","s11","02M","#440154FF","#ED6925FF","sample","B96",18591,1,11,"1 11",1,11,5
"GBP23011102M_16S_B96","Shannon diversity",2.03289792106272,2.03647990249324,0.0171791819005173,2.00280932468436,2.07015048030211,0.998241091686624,23,"p01","s11","02M","#440154FF","#ED6925FF","sample","B96",18591,1,11,"1 11",1,11,5
"GBP23011102M_16S_B96","Simpson diversity",1.54554451338159,1.54559518591605,0.00999428090583357,1.52600675528924,1.56518361654286,0.999967214873,23,"p01","s11","02M","#440154FF","#ED6925FF","sample","B96",18591,1,11,"1 11",1,11,5
"GBP23020201M_16S_B96","Species richness",90,148.498236677116,21.3910187953159,106.572610245677,190.423863108555,0.606067802647984,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","B96",37186,2,2,"2 2",2,2,10
"GBP23020201M_16S_B96","Shannon diversity",2.86074545032784,2.86753805564155,0.0165108042179849,2.83517747401851,2.89989863726459,0.997631206567478,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","B96",37186,2,2,"2 2",2,2,10
"GBP23020201M_16S_B96","Simpson diversity",2.26275196063633,2.26283809185673,0.0072934525617956,2.24854318751266,2.2771329962008,0.999961936640224,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","B96",37186,2,2,"2 2",2,2,10
"GBP23020202M_16S_B96","Species richness",50,57.9996966939642,8.72155732844657,50,75.0936349468209,0.862073473656687,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","B96",31623,2,2,"2 2",2,2,10
"GBP23020202M_16S_B96","Shannon diversity",3.19412674901049,3.19795124341342,0.0181001377425365,3.16247562532283,3.23342686150401,0.998804079827418,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","B96",31623,2,2,"2 2",2,2,10
"GBP23020202M_16S_B96","Simpson diversity",2.40796838904467,2.40809693973163,0.0145683207336838,2.37954355577839,2.43665032368488,0.999946617312268,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","B96",31623,2,2,"2 2",2,2,10
"GBP23020301M_16S_B96","Species richness",75,105.248896508956,19.3690096227224,75,143.211457785701,0.712596544835207,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","B96",35006,2,3,"2 3",2,3,9
"GBP23020301M_16S_B96","Shannon diversity",5.89358694761385,5.9055693130084,0.042828329497705,5.82162732967489,5.98951129634192,0.997971005882844,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","B96",35006,2,3,"2 3",2,3,9
"GBP23020301M_16S_B96","Simpson diversity",4.31898214122766,4.31950513701085,0.0282404838885584,4.26415480568329,4.37485546833841,0.999878922291651,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","B96",35006,2,3,"2 3",2,3,9
"GBP23020302M_16S_B96","Species richness",36,40.5711889033688,9.06818595914811,36,58.3445067884109,0.887329185391723,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","B96",22827,2,3,"2 3",2,3,9
"GBP23020302M_16S_B96","Shannon diversity",4.47644496287471,4.48155923136688,0.0304988170123663,4.42178264845157,4.5413358142822,0.998858819391167,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","B96",22827,2,3,"2 3",2,3,9
"GBP23020302M_16S_B96","Simpson diversity",3.52282076894158,3.523286800563,0.0216042811738794,3.48094318755032,3.56563041357568,0.999867728161855,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","B96",22827,2,3,"2 3",2,3,9
"GBP23020303M_16S_B96","Species richness",28,34.2494434550312,8.58557261131838,28,51.0768565598687,0.817531532644127,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","B96",12943,2,3,"2 3",2,3,9
"GBP23020303M_16S_B96","Shannon diversity",4.70365666167101,4.71105845539997,0.03972941970651,4.63319022364854,4.78892668715141,0.998428846978011,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","B96",12943,2,3,"2 3",2,3,9
"GBP23020303M_16S_B96","Simpson diversity",3.79850604165737,3.79945294628156,0.0310772301020464,3.73854269454228,3.86036319802083,0.999750778694308,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","B96",12943,2,3,"2 3",2,3,9
"GBP23020304M_16S_B96","Species richness",53,65.2495960029022,9.9628836307847,53,84.7764891014038,0.812265565562163,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","B96",47446,2,3,"2 3",2,3,9
"GBP23020304M_16S_B96","Shannon diversity",4.40278666672599,4.4079197456236,0.0267097531069223,4.35556959149808,4.46026989974913,0.998835487215322,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","B96",47446,2,3,"2 3",2,3,9
