	GBP23010301M_ITS_P48	GBP23010302M_ITS_P96	GBP23010303M_ITS_P96	GBP23010304M_ITS_P96	GBP23010305M_ITS_P96	GBP23010501M_ITS_P96	GBP23010901M_ITS_P96	GBP23011001M_ITS_P96	GBP23011101M_ITS_P96	GBP23011102M_ITS_P96	GBP23020201M_ITS_P96	GBP23020202M_ITS_P96	GBP23020301M_ITS_P96	GBP23020302M_ITS_P96	GBP23020303M_ITS_P96	GBP23020304M_ITS_P96	GBP23020305M_ITS_P96	GBP23020401M_ITS_P96	GBP23020402M_ITS_P96	GBP23020403M_ITS_P96	GBP23020404M_ITS_P48	GBP23020501M_ITS_P96	GBP23020601M_ITS_P96	GBP23020602M_ITS_P96	GBP23020701M_ITS_P96	GBP23020801M_ITS_P96	GBP23020802M_ITS_P96	GBP23020901M_ITS_P48	GBP23020902M_ITS_P96	GBP23020903M_ITS_P96	GBP23021101M_ITS_P96	GBP23021102M_ITS_P48	GBP23021103M_ITS_P96	GBP23021104M_ITS_P96	GBP23021105M_ITS_P96	GBP23021401M_ITS_P96	GBP23021402M_ITS_P96	GBP23021501M_ITS_P96	GBP23021602M_ITS_P96	GBP23021603M_ITS_P96	GBP23021604M_ITS_P96	GBP23021605M_ITS_P96	GBP23030101M_ITS_P96	GBP23030102M_ITS_P96	GBP23030201M_ITS_P96	GBP23030501M_ITS_P96	GBP23031301M_ITS_P96	GBP23031401M_ITS_P96	GBP23031402M_ITS_P96	GBP23031403M_ITS_P48	GBP23031404M_ITS_P96	GBP23031405M_ITS_P48	GBP23031601M_ITS_P96	GBP23040101M_ITS_P96	GBP23040201M_ITS_P96	GBP23040202M_ITS_P96	GBP23040203M_ITS_P96	GBP23040301M_ITS_P96	GBP23040401M_ITS_P96	GBP23040402M_ITS_P48	GBP23040403M_ITS_P48	GBP23040701M_ITS_P96	GBP23040702M_ITS_P48	GBP23041101M_ITS_P48	GBP23041102M_ITS_P48	GBP23041103M_ITS_P96	GBP23041104M_ITS_P48	GBP23041105M_ITS_P96	GBP23041301M_ITS_P96	GBP23041302M_ITS_P48	GBP23041401M_ITS_P96	GBP23041402M_ITS_P96	GBP23041403M_ITS_P96	GBP23041404M_ITS_P96	GBP23041405M_ITS_P96	GBP23041406M_ITS_P96	GBP23050301M_ITS_P96	GBP23050401M_ITS_P48	GBP23050402M_ITS_P48	GBP23050403M_ITS_P48	GBP23050501M_ITS_P96	GBP23050502M_ITS_P48	GBP23050701M_ITS_P48	GBP23050702M_ITS_P96	GBP23051501M_ITS_P96	GBP23051601M_ITS_P96	GBP23051602M_ITS_P96	GBP23051603M_ITS_P96	GBP23060101M_ITS_P96	GBP23060102M_ITS_P96	GBP23060103M_ITS_P48	GBP23060104M_ITS_P48	GBP23060105M_ITS_P48	GBP23060201M_ITS_P48	GBP23060202M_ITS_P48	GBP23060203M_ITS_P96	GBP23060204M_ITS_P48	GBP23060205M_ITS_P48	GBP23060301M_ITS_P48	GBP23060302M_ITS_P48	GBP23060303M_ITS_P96	GBP23060304M_ITS_P96	GBP23060305M_ITS_P48	GBP23060401M_ITS_P96	GBP23060402M_ITS_P96	GBP23060403M_ITS_P48	GBP23060404M_ITS_P96	GBP23060501M_ITS_P48	GBP23060701M_ITS_P96	GBP23060801M_ITS_P96	GBP23060901M_ITS_P48	GBP23061001M_ITS_P48	GBP23061002M_ITS_P96	GBP23061003M_ITS_P96	GBP23061004M_ITS_P96	GBP23061005M_ITS_P96	GBP23061201M_ITS_P48	GBP23061202M_ITS_P96	GBP23061301M_ITS_P96	GBP23061303M_ITS_P48	GBP23061304M_ITS_P96	GBP23061305M_ITS_P96	GBP23061401M_ITS_P96	GBP23061402M_ITS_P96	GBP23061404M_ITS_P96	GBP23061405M_ITS_P48	neg1_ITS_P96	neg2_ITS_P96	neg4_ITS_P96	neg6_ITS_P48	neg7_ITS_P48	neg9_ITS_P48	negPCR_ITS_P48	negPCR_ITS_P96
ASV_11	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	27	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	70	37	244	607	0	1450	52	0	0	0	0	0	0	0	0	0	0	0	0	27	0	8	36079	0	0	0	0	0	0	0	0	0	19	0	0	0	4	1876	0	0	5	4618	0	0	0	0	19642	7921	36	0	0	160	0	19	138	17	63	3153	242	23	263	0	0	11	0	0	0	0	0	0	0	0	0
ASV_12	0	0	20	789	0	1103	0	0	3	337	3247	928	764	66	111	28	0	0	11	1959	0	0	275	8	8590	0	0	15909	0	6714	64	0	0	0	0	78	0	0	0	3368	855	8	52	0	60	597	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	7	27	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	12368	0	0	85	41	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	10	5	87	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	31
ASV_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	904	0	19288	591	31558	3422	17	1339	40	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	14	77	0	92	0	22975	20	24301	0	0	0	0	13	35	199	10	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	140	0	0	0	4590	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	31	22	0	0	0	0	20	0	8	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	12	0	32	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	2885	536	3419	2052	151	666	0	0	0	0	0	0	1514	5271	4252	800	143	0	183	3294	88	0	666	0	109	148	0	0	488	1723	269	0	0	0	0	0	0	0	0	11337	0	0	781	0	2811	1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	87	66	0	2516	682	118	410	260	0	0	0	0	0	0	0	0	0	70	0	0	16	0	0	0	0	57	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	64
ASV_16	0	0	0	0	0	48	0	156	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	29	0	0	0	7	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	12	0	0	0	0	177	2	19	0	0	0	21	54	0	0	35	5	40	1688	69	633	6027	4	35	29	0	689	26642	1584	466	72	81	12	0	22	0	0	509	0	0	0	0	48	61	18	5882	5	91	338	637	2493	23	0	224	0	0	20	0	0	0	0	0	0
ASV_17	53	0	0	0	0	0	0	142	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	35	0	0	27	0	124	0	0	0	0	0	0	0	0	0	0	176	67	0	0	0	0	3807	3788	0	0	0	5	0	0	0	157	52	0	12700	0	443	21	0	0	0	0	0	1874	4242	0	114	2308	0	20	28	41	659	351	300	31	0	0	7134	0	235	0	0	238	0	0	0	0	0	3056	0	0	2580	0	0	0	0	603	25	2055	0	36	176	459	0	224	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	4	0	21235	0	8	0	0	197	0	0	0	121	52	0	0	0	17326	0	0	0	0	0	170	0	0	0	0	0	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	113	0	0	0	0	0	505	0	0	0	0	0	0	0	113	0	0	0	36	0	0	8574	0	2672	0	0	1798	145	211	0	0	0	0	0	41	0	0	0	19	0	204	0	63	53	138	36	309	0	0	10266	3593	82	0	1174	0	406	0	0	1216	0	0	0	2595	32	0	0	43	605	756	0	0	0	0	1341	0	314	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	0	0	6045	0	0	0	0	0	24720	3861	66	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	220	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	24	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
