sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading	flower_abundance	category	Fecha	Time
GBP23031403M_16S_B48	23	p03	s14	03M	#2A788EFF	#FAC62DFF	sample	B48	7608	47	High	28/05/2023	late
GBP23031404M_16S_B96	23	p03	s14	04M	#2A788EFF	#FAC62DFF	sample	B96	45839	47	High	28/05/2023	late
GBP23031405M_16S_B48	23	p03	s14	05M	#2A788EFF	#FAC62DFF	sample	B48	12414	47	High	28/05/2023	late
GBP23031601M_16S_B96	23	p03	s16	01M	#2A788EFF	#FCFFA4FF	sample	B96	25928	29	Medium	29/05/2023	late
GBP23040101M_16S_B96	23	p04	s01	01M	#22A884FF	#000004FF	sample	B96	45612	32	Medium	31/05/2023	late
GBP23040201M_16S_B96	23	p04	s02	01M	#22A884FF	#0C0826FF	sample	B96	33737	26	Low	31/05/2023	late
GBP23040202M_16S_B96	23	p04	s02	02M	#22A884FF	#0C0826FF	sample	B96	45670	26	Low	31/05/2023	late
GBP23040203M_16S_B96	23	p04	s02	03M	#22A884FF	#0C0826FF	sample	B96	17696	26	Low	31/05/2023	late
GBP23040301M_16S_B96	23	p04	s03	01M	#22A884FF	#240C4FFF	sample	B96	34045	32	Medium	05/06/2023	late
GBP23040401M_16S_B96	23	p04	s04	01M	#22A884FF	#420A68FF	sample	B96	22764	27	Medium	05/06/2023	late
GBP23040402M_16S_B48	23	p04	s04	02M	#22A884FF	#420A68FF	sample	B48	31025	27	Medium	05/06/2023	late
GBP23040403M_16S_B48	23	p04	s04	03M	#22A884FF	#420A68FF	sample	B48	63276	27	Medium	05/06/2023	late
GBP23040701M_16S_B96	23	p04	s07	01M	#22A884FF	#932667FF	sample	B96	20527	21	Low	06/06/2023	late
GBP23040702M_16S_B48	23	p04	s07	02M	#22A884FF	#932667FF	sample	B48	45060	21	Low	06/06/2023	late
GBP23041101M_16S_B48	23	p04	s11	01M	#22A884FF	#ED6925FF	sample	B48	16974	27	Medium	08/06/2023	late
GBP23041102M_16S_B48	23	p04	s11	02M	#22A884FF	#ED6925FF	sample	B48	60180	27	Medium	08/06/2023	late
GBP23041103M_16S_B96	23	p04	s11	03M	#22A884FF	#ED6925FF	sample	B96	26853	27	Medium	08/06/2023	late
GBP23041104M_16S_B48	23	p04	s11	04M	#22A884FF	#ED6925FF	sample	B48	2676	27	Medium	08/06/2023	late
GBP23041105M_16S_B96	23	p04	s11	05M	#22A884FF	#ED6925FF	sample	B96	20399	27	Medium	08/06/2023	late
GBP23041301M_16S_B96	23	p04	s13	01M	#22A884FF	#FCA50AFF	sample	B96	34425	43	High	16/06/2023	late
GBP23041302M_16S_B48	23	p04	s13	02M	#22A884FF	#FCA50AFF	sample	B48	32475	43	High	16/06/2023	late
GBP23041401M_16S_B96	23	p04	s14	01M	#22A884FF	#FAC62DFF	sample	B96	19357	47	High	16/06/2023	late
GBP23041402M_16S_B96	23	p04	s14	02M	#22A884FF	#FAC62DFF	sample	B96	37545	47	High	16/06/2023	late
GBP23041403M_16S_B96	23	p04	s14	03M	#22A884FF	#FAC62DFF	sample	B96	41838	47	High	16/06/2023	late
GBP23041404M_16S_B96	23	p04	s14	04M	#22A884FF	#FAC62DFF	sample	B96	35216	47	High	16/06/2023	late
GBP23041405M_16S_B96	23	p04	s14	05M	#22A884FF	#FAC62DFF	sample	B96	62174	47	High	16/06/2023	late
GBP23041406M_16S_B96	23	p04	s14	06M	#22A884FF	#FAC62DFF	sample	B96	28992	47	High	16/06/2023	late
GBP23050301M_16S_B96	23	p05	s03	01M	#7AD151FF	#240C4FFF	sample	B96	32960	32	Medium	23/06/2023	late
GBP23050401M_16S_B48	23	p05	s04	01M	#7AD151FF	#420A68FF	sample	B48	32205	27	Medium	23/06/2023	late
GBP23050402M_16S_B48	23	p05	s04	02M	#7AD151FF	#420A68FF	sample	B48	32428	27	Medium	23/06/2023	late
GBP23050403M_16S_B48	23	p05	s04	03M	#7AD151FF	#420A68FF	sample	B48	37374	27	Medium	23/06/2023	late
GBP23050501M_16S_B96	23	p05	s05	01M	#7AD151FF	#5D126EFF	sample	B96	32059	24	Low	24/06/2023	late
GBP23050502M_16S_B48	23	p05	s05	02M	#7AD151FF	#5D126EFF	sample	B48	35593	24	Low	24/06/2023	late
GBP23050701M_16S_B48	23	p05	s07	01M	#7AD151FF	#932667FF	sample	B48	54278	21	Low	03/07/2023	late
GBP23050702M_16S_B96	23	p05	s07	02M	#7AD151FF	#932667FF	sample	B96	26142	21	Low	03/07/2023	late
GBP23051501M_16S_B96	23	p05	s15	01M	#7AD151FF	#F2E661FF	sample	B96	22560	29	Medium	14/07/2023	late
GBP23051601M_16S_B96	23	p05	s16	01M	#7AD151FF	#FCFFA4FF	sample	B96	31823	29	Medium	14/07/2023	late
GBP23051602M_16S_B96	23	p05	s16	02M	#7AD151FF	#FCFFA4FF	sample	B96	28094	29	Medium	14/07/2023	late
GBP23051603M_16S_B96	23	p05	s16	03M	#7AD151FF	#FCFFA4FF	sample	B96	22347	29	Medium	14/07/2023	late
GBP23060101M_16S_B96	23	p06	s01	01M	#FDE725FF	#000004FF	sample	B96	36565	32	Medium	18/07/2023	late
GBP23060102M_16S_B96	23	p06	s01	02M	#FDE725FF	#000004FF	sample	B96	44577	32	Medium	18/07/2023	late
GBP23060103M_16S_B48	23	p06	s01	03M	#FDE725FF	#000004FF	sample	B48	36442	32	Medium	18/07/2023	late
GBP23060104M_16S_B48	23	p06	s01	04M	#FDE725FF	#000004FF	sample	B48	33345	32	Medium	18/07/2023	late
GBP23060105M_16S_B48	23	p06	s01	05M	#FDE725FF	#000004FF	sample	B48	47057	32	Medium	18/07/2023	late
GBP23060201M_16S_B48	23	p06	s02	01M	#FDE725FF	#0C0826FF	sample	B48	37804	26	Low	18/07/2023	late
GBP23060202M_16S_B48	23	p06	s02	02M	#FDE725FF	#0C0826FF	sample	B48	49502	26	Low	18/07/2023	late
GBP23060203M_16S_B96	23	p06	s02	03M	#FDE725FF	#0C0826FF	sample	B96	32927	26	Low	18/07/2023	late
GBP23060204M_16S_B48	23	p06	s02	04M	#FDE725FF	#0C0826FF	sample	B48	44578	26	Low	18/07/2023	late
GBP23060205M_16S_B48	23	p06	s02	05M	#FDE725FF	#0C0826FF	sample	B48	30039	26	Low	18/07/2023	late
GBP23060301M_16S_B48	23	p06	s03	01M	#FDE725FF	#240C4FFF	sample	B48	32335	32	Medium	18/07/2023	late
GBP23060302M_16S_B48	23	p06	s03	02M	#FDE725FF	#240C4FFF	sample	B48	12732	32	Medium	18/07/2023	late
GBP23060303M_16S_B96	23	p06	s03	03M	#FDE725FF	#240C4FFF	sample	B96	24593	32	Medium	18/07/2023	late
GBP23060304M_16S_B96	23	p06	s03	04M	#FDE725FF	#240C4FFF	sample	B96	50737	32	Medium	18/07/2023	late
GBP23060305M_16S_B48	23	p06	s03	05M	#FDE725FF	#240C4FFF	sample	B48	28217	32	Medium	18/07/2023	late
GBP23060401M_16S_B96	23	p06	s04	01M	#FDE725FF	#420A68FF	sample	B96	9306	27	Medium	18/07/2023	late
GBP23060402M_16S_B96	23	p06	s04	02M	#FDE725FF	#420A68FF	sample	B96	25202	27	Medium	18/07/2023	late
GBP23060403M_16S_B48	23	p06	s04	03M	#FDE725FF	#420A68FF	sample	B48	13635	27	Medium	18/07/2023	late
GBP23060404M_16S_B96	23	p06	s04	04M	#FDE725FF	#420A68FF	sample	B96	36771	27	Medium	18/07/2023	late
GBP23060501M_16S_B48	23	p06	s05	01M	#FDE725FF	#5D126EFF	sample	B48	4559	24	Low	17/07/2023	late
GBP23060701M_16S_B96	23	p06	s07	01M	#FDE725FF	#932667FF	sample	B96	43524	21	Low	27/07/2023	late
GBP23060801M_16S_B96	23	p06	s08	01M	#FDE725FF	#AE305CFF	sample	B96	27219	15	Low	27/07/2023	late
GBP23060901M_16S_B48	23	p06	s09	01M	#FDE725FF	#C73E4CFF	sample	B48	33887	24	Low	27/07/2023	late
GBP23061001M_16S_B48	23	p06	s10	01M	#FDE725FF	#DD513AFF	sample	B48	67805	32	Medium	27/07/2023	late
GBP23061002M_16S_B96	23	p06	s10	02M	#FDE725FF	#DD513AFF	sample	B96	33247	32	Medium	27/07/2023	late
GBP23061003M_16S_B96	23	p06	s10	03M	#FDE725FF	#DD513AFF	sample	B96	25703	32	Medium	27/07/2023	late
GBP23061004M_16S_B96	23	p06	s10	04M	#FDE725FF	#DD513AFF	sample	B96	35555	32	Medium	27/07/2023	late
GBP23061005M_16S_B96	23	p06	s10	05M	#FDE725FF	#DD513AFF	sample	B96	10789	32	Medium	27/07/2023	late
GBP23061201M_16S_B48	23	p06	s12	01M	#FDE725FF	#F8850FFF	sample	B48	22741	36	High	26/07/2023	late
GBP23061202M_16S_B96	23	p06	s12	02M	#FDE725FF	#F8850FFF	sample	B96	34853	36	High	26/07/2023	late
GBP23061301M_16S_B96	23	p06	s13	01M	#FDE725FF	#FCA50AFF	sample	B96	38791	43	High	26/07/2023	late
GBP23061303M_16S_B48	23	p06	s13	03M	#FDE725FF	#FCA50AFF	sample	B48	55056	43	High	26/07/2023	late
GBP23061304M_16S_B96	23	p06	s13	04M	#FDE725FF	#FCA50AFF	sample	B96	38576	43	High	26/07/2023	late
GBP23061305M_16S_B96	23	p06	s13	05M	#FDE725FF	#FCA50AFF	sample	B96	36131	43	High	26/07/2023	late
GBP23061401M_16S_B96	23	p06	s14	01M	#FDE725FF	#FAC62DFF	sample	B96	14355	47	High	26/07/2023	late
GBP23061402M_16S_B96	23	p06	s14	02M	#FDE725FF	#FAC62DFF	sample	B96	21807	47	High	26/07/2023	late
GBP23061404M_16S_B96	23	p06	s14	04M	#FDE725FF	#FAC62DFF	sample	B96	42417	47	High	26/07/2023	late
GBP23061405M_16S_B48	23	p06	s14	05M	#FDE725FF	#FAC62DFF	sample	B48	32315	47	High	26/07/2023	late
