sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23041102M_16S_B48	23	p04	s11	02M	#22A884FF	#ED6925FF	sample	B48	60180
GBP23041103M_16S_B96	23	p04	s11	03M	#22A884FF	#ED6925FF	sample	B96	26853
GBP23041104M_16S_B48	23	p04	s11	04M	#22A884FF	#ED6925FF	sample	B48	2676
GBP23041105M_16S_B96	23	p04	s11	05M	#22A884FF	#ED6925FF	sample	B96	20399
GBP23041301M_16S_B96	23	p04	s13	01M	#22A884FF	#FCA50AFF	sample	B96	34425
GBP23041302M_16S_B48	23	p04	s13	02M	#22A884FF	#FCA50AFF	sample	B48	32475
GBP23041401M_16S_B96	23	p04	s14	01M	#22A884FF	#FAC62DFF	sample	B96	19357
GBP23041402M_16S_B96	23	p04	s14	02M	#22A884FF	#FAC62DFF	sample	B96	37545
GBP23041403M_16S_B96	23	p04	s14	03M	#22A884FF	#FAC62DFF	sample	B96	41838
GBP23041404M_16S_B96	23	p04	s14	04M	#22A884FF	#FAC62DFF	sample	B96	35216
GBP23041405M_16S_B96	23	p04	s14	05M	#22A884FF	#FAC62DFF	sample	B96	62174
GBP23041406M_16S_B96	23	p04	s14	06M	#22A884FF	#FAC62DFF	sample	B96	28992
GBP23050301M_16S_B96	23	p05	s03	01M	#7AD151FF	#240C4FFF	sample	B96	32960
GBP23050401M_16S_B48	23	p05	s04	01M	#7AD151FF	#420A68FF	sample	B48	32205
GBP23050402M_16S_B48	23	p05	s04	02M	#7AD151FF	#420A68FF	sample	B48	32428
GBP23050403M_16S_B48	23	p05	s04	03M	#7AD151FF	#420A68FF	sample	B48	37374
GBP23050501M_16S_B96	23	p05	s05	01M	#7AD151FF	#5D126EFF	sample	B96	32059
GBP23050502M_16S_B48	23	p05	s05	02M	#7AD151FF	#5D126EFF	sample	B48	35593
GBP23050701M_16S_B48	23	p05	s07	01M	#7AD151FF	#932667FF	sample	B48	54278
GBP23050702M_16S_B96	23	p05	s07	02M	#7AD151FF	#932667FF	sample	B96	26142
GBP23051501M_16S_B96	23	p05	s15	01M	#7AD151FF	#F2E661FF	sample	B96	22560
GBP23051601M_16S_B96	23	p05	s16	01M	#7AD151FF	#FCFFA4FF	sample	B96	31823
GBP23051602M_16S_B96	23	p05	s16	02M	#7AD151FF	#FCFFA4FF	sample	B96	28094
GBP23051603M_16S_B96	23	p05	s16	03M	#7AD151FF	#FCFFA4FF	sample	B96	22347
GBP23060101M_16S_B96	23	p06	s01	01M	#FDE725FF	#000004FF	sample	B96	36565
GBP23060102M_16S_B96	23	p06	s01	02M	#FDE725FF	#000004FF	sample	B96	44577
GBP23060103M_16S_B48	23	p06	s01	03M	#FDE725FF	#000004FF	sample	B48	36442
GBP23060104M_16S_B48	23	p06	s01	04M	#FDE725FF	#000004FF	sample	B48	33345
GBP23060105M_16S_B48	23	p06	s01	05M	#FDE725FF	#000004FF	sample	B48	47057
