sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23041102M_ITS_F48	23	p04	s11	02M	#22A884FF	#ED6925FF	sample	F48	25311
GBP23041103M_ITS_F96	23	p04	s11	03M	#22A884FF	#ED6925FF	sample	F96	876
GBP23041104M_ITS_F48	23	p04	s11	04M	#22A884FF	#ED6925FF	sample	F48	1185
GBP23041105M_ITS_F96	23	p04	s11	05M	#22A884FF	#ED6925FF	sample	F96	1826
GBP23041301M_ITS_F96	23	p04	s13	01M	#22A884FF	#FCA50AFF	sample	F96	5062
GBP23041302M_ITS_F48	23	p04	s13	02M	#22A884FF	#FCA50AFF	sample	F48	1
GBP23041401M_ITS_F96	23	p04	s14	01M	#22A884FF	#FAC62DFF	sample	F96	310120
GBP23041402M_ITS_F96	23	p04	s14	02M	#22A884FF	#FAC62DFF	sample	F96	4227
GBP23041403M_ITS_F96	23	p04	s14	03M	#22A884FF	#FAC62DFF	sample	F96	22503
GBP23041404M_ITS_F96	23	p04	s14	04M	#22A884FF	#FAC62DFF	sample	F96	104403
GBP23041405M_ITS_F96	23	p04	s14	05M	#22A884FF	#FAC62DFF	sample	F96	32
GBP23041406M_ITS_F96	23	p04	s14	06M	#22A884FF	#FAC62DFF	sample	F96	18832
GBP23050301M_ITS_F96	23	p05	s03	01M	#7AD151FF	#240C4FFF	sample	F96	9463
GBP23050401M_ITS_F48	23	p05	s04	01M	#7AD151FF	#420A68FF	sample	F48	9368
GBP23050403M_ITS_F48	23	p05	s04	03M	#7AD151FF	#420A68FF	sample	F48	133493
GBP23050501M_ITS_F96	23	p05	s05	01M	#7AD151FF	#5D126EFF	sample	F96	3215
GBP23050502M_ITS_F48	23	p05	s05	02M	#7AD151FF	#5D126EFF	sample	F48	5248
GBP23050701M_ITS_F48	23	p05	s07	01M	#7AD151FF	#932667FF	sample	F48	110
GBP23050702M_ITS_F96	23	p05	s07	02M	#7AD151FF	#932667FF	sample	F96	8815
GBP23051601M_ITS_F96	23	p05	s16	01M	#7AD151FF	#FCFFA4FF	sample	F96	634
GBP23051602M_ITS_F96	23	p05	s16	02M	#7AD151FF	#FCFFA4FF	sample	F96	228
GBP23051603M_ITS_F96	23	p05	s16	03M	#7AD151FF	#FCFFA4FF	sample	F96	4
GBP23060101M_ITS_F96	23	p06	s01	01M	#FDE725FF	#000004FF	sample	F96	1
GBP23060102M_ITS_F96	23	p06	s01	02M	#FDE725FF	#000004FF	sample	F96	7588
GBP23060103M_ITS_F48	23	p06	s01	03M	#FDE725FF	#000004FF	sample	F48	485
GBP23060104M_ITS_F48	23	p06	s01	04M	#FDE725FF	#000004FF	sample	F48	21071
GBP23060105M_ITS_F48	23	p06	s01	05M	#FDE725FF	#000004FF	sample	F48	1569
GBP23060201M_ITS_F48	23	p06	s02	01M	#FDE725FF	#0C0826FF	sample	F48	148
GBP23060202M_ITS_F48	23	p06	s02	02M	#FDE725FF	#0C0826FF	sample	F48	7322
GBP23060203M_ITS_F96	23	p06	s02	03M	#FDE725FF	#0C0826FF	sample	F96	83952
GBP23060204M_ITS_F48	23	p06	s02	04M	#FDE725FF	#0C0826FF	sample	F48	15
GBP23060205M_ITS_F48	23	p06	s02	05M	#FDE725FF	#0C0826FF	sample	F48	46844
GBP23060301M_ITS_F48	23	p06	s03	01M	#FDE725FF	#240C4FFF	sample	F48	179299
GBP23060302M_ITS_F48	23	p06	s03	02M	#FDE725FF	#240C4FFF	sample	F48	69302
GBP23060303M_ITS_F96	23	p06	s03	03M	#FDE725FF	#240C4FFF	sample	F96	9070
GBP23060304M_ITS_F96	23	p06	s03	04M	#FDE725FF	#240C4FFF	sample	F96	9099
GBP23060305M_ITS_F48	23	p06	s03	05M	#FDE725FF	#240C4FFF	sample	F48	3962
GBP23060401M_ITS_F96	23	p06	s04	01M	#FDE725FF	#420A68FF	sample	F96	6
GBP23060402M_ITS_F96	23	p06	s04	02M	#FDE725FF	#420A68FF	sample	F96	44581
GBP23060403M_ITS_F48	23	p06	s04	03M	#FDE725FF	#420A68FF	sample	F48	28015
GBP23060404M_ITS_F96	23	p06	s04	04M	#FDE725FF	#420A68FF	sample	F96	37533
GBP23060501M_ITS_F48	23	p06	s05	01M	#FDE725FF	#5D126EFF	sample	F48	125100
GBP23060701M_ITS_F96	23	p06	s07	01M	#FDE725FF	#932667FF	sample	F96	16542
GBP23060801M_ITS_F96	23	p06	s08	01M	#FDE725FF	#AE305CFF	sample	F96	303
GBP23060901M_ITS_F48	23	p06	s09	01M	#FDE725FF	#C73E4CFF	sample	F48	3986
GBP23061001M_ITS_F48	23	p06	s10	01M	#FDE725FF	#DD513AFF	sample	F48	2674
GBP23061002M_ITS_F96	23	p06	s10	02M	#FDE725FF	#DD513AFF	sample	F96	1367
GBP23061003M_ITS_F96	23	p06	s10	03M	#FDE725FF	#DD513AFF	sample	F96	1
GBP23061004M_ITS_F96	23	p06	s10	04M	#FDE725FF	#DD513AFF	sample	F96	30354
GBP23061005M_ITS_F96	23	p06	s10	05M	#FDE725FF	#DD513AFF	sample	F96	2539
GBP23061201M_ITS_F48	23	p06	s12	01M	#FDE725FF	#F8850FFF	sample	F48	93003
GBP23061202M_ITS_F96	23	p06	s12	02M	#FDE725FF	#F8850FFF	sample	F96	106310
GBP23061301M_ITS_F96	23	p06	s13	01M	#FDE725FF	#FCA50AFF	sample	F96	1350
GBP23061303M_ITS_F48	23	p06	s13	03M	#FDE725FF	#FCA50AFF	sample	F48	70
GBP23061304M_ITS_F96	23	p06	s13	04M	#FDE725FF	#FCA50AFF	sample	F96	4071
GBP23061305M_ITS_F96	23	p06	s13	05M	#FDE725FF	#FCA50AFF	sample	F96	21200
GBP23061401M_ITS_F96	23	p06	s14	01M	#FDE725FF	#FAC62DFF	sample	F96	48735
GBP23061402M_ITS_F96	23	p06	s14	02M	#FDE725FF	#FAC62DFF	sample	F96	2756
GBP23061404M_ITS_F96	23	p06	s14	04M	#FDE725FF	#FAC62DFF	sample	F96	456
GBP23061405M_ITS_F48	23	p06	s14	05M	#FDE725FF	#FAC62DFF	sample	F48	640
neg1_ITS_F96	NA	pNA	sNA	NA1	red	red	negative	F96	523
neg2_ITS_F96	NA	pNA	sNA	NA2	red	red	negative	F96	14610
neg4_ITS_F96	NA	pNA	sNA	NA3	red	red	negative	F96	821
neg5_ITS_F96	NA	pNA	sNA	NA4	red	red	negative	F96	187
neg7_ITS_F48	NA	pNA	sNA	NA5	red	red	negative	F48	26
neg9_ITS_F48	NA	pNA	sNA	NA6	red	red	negative	F48	0
negPCR_ITS_F48	NA	pNA	sNA	NA7	red	red	negative	F48	10
negPCR_ITS_F96	NA	pNA	sNA	NA8	red	red	negative	F96	2891
